ac_number_2021,constituency_2021,region_2021,reserved_2021,valid_votes_2021,n_candidates_2021,winner_2021,winner_party_2021,winner_party_norm_2021,winner_votes_2021,winner_share_pct_2021,runner_up_2021,runner_up_party_norm_2021,runner_up_votes_2021,margin_pct_2021,turnout_pct_2021,ac_number_2026,constituency_2026,region_2026,reserved_2026,valid_votes_2026,n_candidates_2026,winner_2026,winner_party_2026,winner_party_norm_2026,winner_votes_2026,winner_share_pct_2026,runner_up_2026,runner_up_party_norm_2026,runner_up_votes_2026,margin_pct_2026,ac_number,flip_raw,flip_norm,margin_delta,constituency,district,region,reserved,turnout_pct_2026
45,Kilvaithinankuppam,North,SC,172326,10,M.JAGAN MOORTHY,AIADMK,AIADMK,84579,49.08,K Seetharaman,DMK,73997,6.14,76.5,45,Kilvaithinankuppam,North,SC,188920,11,THENRAL KUMAR. E,TVK,TVK,74305,39.33,JEGAN MOORTHY. M,AIADMK,54050,10.72,45,True,True,4.580000000000001,Kilvaithinankuppam,Vellore,North,SC,
46,Gudiyatham,North,SC,209931,15,Amulu.V,DMK,DMK,100412,47.83,Paritha.G,AIADMK,93511,3.29,72.56,46,Gudiyattam,North,SC,228277,11,K.SINDU,TVK,TVK,82858,36.3,K.B.PRADAP,DMDK,72761,4.42,46,True,True,1.13,Gudiyatham,Vellore,North,SC,
47,Vaniayambadi,North,GEN,188505,13,G.SENDHIL KUMAR,AIADMK,AIADMK,88018,46.69,N.MOHAMMED NAYEEM,IUML,83114,2.6,75.55,47,Vaniyambadi,North,GEN,211910,15,SYED FAROOQ BASHA SSB,IUML,IUML,73181,34.53,SYED BHURHANUDEEN,TVK,70199,1.41,47,True,True,-1.1900000000000002,Vaniayambadi,Vellore,North,GEN,
48,Ambur,North,GEN,176461,13,VILWANATHAN.A.C,DMK,DMK,90476,51.27,NAZAR MOHAMED.K,AIADMK,70244,11.47,74.01,48,Ambur,North,GEN,195116,16,VILWANATHAN. A.C.,DMK,DMK,74102,37.98,IMTHIYAZ PANDARATTUDU ABDU,TVK,66971,3.65,48,False,False,-7.82,Ambur,Vellore,North,GEN,
49,Jolarpet,North,GEN,195021,13,DEVARAJI.K.,DMK,DMK,89490,45.89,VEERAMANI.K.C.,AIADMK,88399,0.56,80.98,49,Jolarpet,North,GEN,212347,19,VEERAMANI K.C.,AIADMK,AIADMK,78633,37.03,MUNISAMY C,TVK,62550,7.57,49,True,True,7.01,Jolarpet,Vellore,North,GEN,
50,Tiruppattur,North,GEN,184298,15,A. NALLATHAMBI,DMK,DMK,96522,52.37,T.K. RAJA,PMK,68282,15.32,76.97,50,Tiruppattur,North,GEN,202461,24,DR.THIRUPATHI. N,TVK,TVK,105098,51.91,NALLATHAMBI. A,DMK,56835,23.84,50,True,True,8.52,Tiruppattur,Vellore,North,GEN,
51,Uthangarai,North,SC,186864,12,T.M.TAMILSELVAM,AIADMK,AIADMK,99675,53.34,S.Arumugam,INC,71288,15.19,78.37,51,Uthangarai,North,SC,204649,13,N ELAIYARAJA,TVK,TVK,70201,34.3,T M  TAMILSELVAM,AIADMK,65003,2.54,51,True,True,-12.649999999999999,Uthangarai,Krishnagiri,North,SC,
52,Bargur,North,GEN,196277,14,MATHIAZHAGAN D,DMK,DMK,97256,49.55,KRISHNAN A,AIADMK,84642,6.43,79.08,52,Bargur,North,GEN,213329,15,E.C. GOVINDARASAN,AIADMK,AIADMK,71240,33.39,E. MURALIDHARAN,TVK,66999,1.99,52,True,True,-4.4399999999999995,Bargur,Krishnagiri,North,GEN,
53,Krishnagiri,North,GEN,209811,15,Ashokkumar.K,AIADMK,AIADMK,96050,45.78,SENGUTTUVAN.T,DMK,95256,0.38,78.5,53,Krishnagiri,North,GEN,229045,15,MUKUNDHAN.P,TVK,TVK,89374,39.02,ASHOKKUMAR.K,AIADMK,70530,8.23,53,True,True,7.8500000000000005,Krishnagiri,Krishnagiri,North,GEN,
54,Veppanahalli,North,GEN,203479,15,K.P.Munusamy,AIADMK,AIADMK,94104,46.25,P.Murugan,DMK,91050,1.5,81.31,54,Veppanahalli,North,GEN,221038,13,SRINIVASAN.P.S,DMK,DMK,74691,33.79,MUNUSAMY.K.P,AIADMK,74553,0.06,54,True,True,-1.44,Veppanahalli,Krishnagiri,North,GEN,
